snapshot_time,trade_time,direction,price,volume
2026-06-15 07:09:39,2026-06-15T07:09:34Z,sell,10897526431.0000000000000000,0.0000410000000000
2026-06-15 07:10:59,2026-06-15T07:10:52Z,sell,10897526421.0000000000000000,0.0003900000000000
2026-06-15 07:13:49,2026-06-15T07:13:40Z,buy,10897526421.0000000000000000,0.0000470000000000
2026-06-15 07:15:59,2026-06-15T07:16:00Z,buy,10897526421.0000000000000000,0.0031340000000000
2026-06-15 07:16:19,2026-06-15T07:16:14Z,buy,10897526421.0000000000000000,0.0007590000000000
2026-06-15 07:18:59,2026-06-15T07:18:51Z,buy,10897526427.0000000000000000,0.0010570000000000
2026-06-15 07:19:59,2026-06-15T07:20:01Z,sell,10897526431.0000000000000000,0.0009170000000000
2026-06-15 07:20:09,2026-06-15T07:20:08Z,sell,10897526431.0000000000000000,0.0026020000000000
2026-06-15 07:20:39,2026-06-15T07:20:33Z,buy,10897526427.0000000000000000,0.0081790000000000
2026-06-15 07:20:39,2026-06-15T07:20:33Z,buy,10897526421.0000000000000000,0.0144150000000000
2026-06-15 07:20:39,2026-06-15T07:20:33Z,buy,10897526421.0000000000000000,0.0022940000000000
2026-06-15 07:20:39,2026-06-15T07:20:33Z,buy,10897526421.0000000000000000,0.0008660000000000
2026-06-15 07:21:09,2026-06-15T07:21:08Z,buy,10884889115.0000000000000000,0.0010160000000000
2026-06-15 07:21:39,2026-06-15T07:21:39Z,sell,10897526429.0000000000000000,0.0088290000000000
2026-06-15 07:22:19,2026-06-15T07:22:14Z,sell,10897526429.0000000000000000,0.0000090000000000
2026-06-15 07:22:29,2026-06-15T07:22:27Z,sell,10897526429.0000000000000000,0.0010000000000000
2026-06-15 07:22:49,2026-06-15T07:22:48Z,buy,10884087037.0000000000000000,0.0004590000000000
2026-06-15 07:24:49,2026-06-15T07:24:45Z,sell,10897526429.0000000000000000,0.0000010000000000
2026-06-15 07:25:09,2026-06-15T07:25:08Z,buy,10890806767.0000000000000000,0.0000650000000000
2026-06-15 07:25:39,2026-06-15T07:25:39Z,buy,10890806766.0000000000000000,0.0018360000000000
2026-06-15 07:25:59,2026-06-15T07:25:58Z,sell,10890806767.0000000000000000,0.0000010000000000
2026-06-15 07:25:59,2026-06-15T07:25:57Z,sell,10890806767.0000000000000000,0.0002720000000000
2026-06-15 07:26:09,2026-06-15T07:26:05Z,sell,10890806767.0000000000000000,0.0001830000000000
2026-06-15 07:26:29,2026-06-15T07:26:25Z,sell,10890806767.0000000000000000,0.0005100000000000
2026-06-15 07:26:49,2026-06-15T07:26:51Z,sell,10897526429.0000000000000000,0.0020730000000000
2026-06-15 07:26:49,2026-06-15T07:26:41Z,sell,10897526428.0000000000000000,0.0020000000000000
2026-06-15 07:27:39,2026-06-15T07:27:37Z,buy,10890806767.0000000000000000,0.0004420000000000
2026-06-15 07:29:39,2026-06-15T07:29:40Z,sell,10897526432.0000000000000000,0.0009180000000000
2026-06-15 07:29:39,2026-06-15T07:29:39Z,sell,10897526429.0000000000000000,0.0090820000000000
2026-06-15 07:30:19,2026-06-15T07:30:12Z,buy,10890806768.0000000000000000,0.0002800000000000
2026-06-15 07:30:19,2026-06-15T07:30:11Z,buy,10890806769.0000000000000000,0.0000910000000000
2026-06-15 07:30:39,2026-06-15T07:30:35Z,sell,10898890294.0000000000000000,0.0004580000000000
2026-06-15 07:31:19,2026-06-15T07:31:14Z,sell,10908385460.0000000000000000,0.0016150000000000
2026-06-15 07:31:19,2026-06-15T07:31:13Z,sell,10908000000.0000000000000000,0.0016000000000000
2026-06-15 07:31:29,2026-06-15T07:31:21Z,sell,10910401536.0000000000000000,0.0009960000000000
2026-06-15 07:31:29,2026-06-15T07:31:21Z,sell,10910401537.0000000000000000,0.0003410000000000
2026-06-15 07:31:29,2026-06-15T07:31:21Z,sell,10910401537.0000000000000000,0.0005220000000000
2026-06-15 07:32:29,2026-06-15T07:32:24Z,buy,10898890297.0000000000000000,0.0008400000000000
2026-06-15 07:32:59,2026-06-15T07:32:58Z,buy,10898890297.0000000000000000,0.0027690000000000
2026-06-15 07:32:59,2026-06-15T07:32:58Z,buy,10898890294.0000000000000000,0.0049170000000000
2026-06-15 07:34:29,2026-06-15T07:34:29Z,buy,10890806766.0000000000000000,0.0043930000000000
2026-06-15 07:34:39,2026-06-15T07:34:39Z,buy,10884087007.0000000000000000,0.0000910000000000
2026-06-15 07:34:39,2026-06-15T07:34:39Z,buy,10865997301.0000000000000000,0.0019910000000000
2026-06-15 07:34:39,2026-06-15T07:34:39Z,buy,10865997301.0000000000000000,0.0013000000000000
2026-06-15 07:34:39,2026-06-15T07:34:39Z,buy,10865997300.0000000000000000,0.0012230000000000
2026-06-15 07:35:19,2026-06-15T07:35:20Z,buy,10869059258.0000000000000000,0.0001210000000000
2026-06-15 07:35:29,2026-06-15T07:35:21Z,sell,10869059258.0000000000000000,0.0001290000000000
2026-06-15 07:35:39,2026-06-15T07:35:34Z,sell,10890862202.0000000000000000,0.0020000000000000
2026-06-15 07:35:39,2026-06-15T07:35:34Z,buy,10890862202.0000000000000000,0.0014680000000000
2026-06-15 07:35:39,2026-06-15T07:35:34Z,buy,10869059271.0000000000000000,0.0001240000000000
2026-06-15 07:35:39,2026-06-15T07:35:34Z,buy,10869059270.0000000000000000,0.0001510000000000
2026-06-15 07:36:49,2026-06-15T07:36:50Z,sell,10892365301.0000000000000000,0.0004550000000000
2026-06-15 07:37:19,2026-06-15T07:37:13Z,buy,10890862202.0000000000000000,0.0055730000000000
2026-06-15 07:37:29,2026-06-15T07:37:21Z,buy,10889412226.0000000000000000,0.0000980000000000
2026-06-15 07:37:59,2026-06-15T07:37:59Z,buy,10889412227.0000000000000000,0.0013770000000000
2026-06-15 07:38:09,2026-06-15T07:38:09Z,sell,10889705486.0000000000000000,0.0001320000000000
2026-06-15 07:39:39,2026-06-15T07:39:38Z,sell,10877487836.0000000000000000,0.0000510000000000
2026-06-15 07:40:49,2026-06-15T07:40:46Z,buy,10856508354.0000000000000000,0.0001660000000000
2026-06-15 07:40:49,2026-06-15T07:40:46Z,buy,10856508353.0000000000000000,0.0000490000000000
2026-06-15 07:41:09,2026-06-15T07:41:05Z,sell,10859363124.0000000000000000,0.0000180000000000
2026-06-15 07:41:09,2026-06-15T07:41:04Z,buy,10859363124.0000000000000000,0.0001690000000000
2026-06-15 07:41:19,2026-06-15T07:41:11Z,sell,10877487834.0000000000000000,0.0009080000000000
2026-06-15 07:41:59,2026-06-15T07:41:59Z,sell,10877487840.0000000000000000,0.0060330000000000
2026-06-15 07:42:29,2026-06-15T07:42:29Z,sell,10877487860.0000000000000000,0.0002460000000000
2026-06-15 07:42:39,2026-06-15T07:42:32Z,sell,10877487860.0000000000000000,0.0011740000000000
2026-06-15 07:42:39,2026-06-15T07:42:32Z,sell,10877487880.0000000000000000,0.0017520000000000
2026-06-15 07:45:29,2026-06-15T07:45:30Z,sell,10877487879.0000000000000000,0.0002100000000000
2026-06-15 07:47:19,2026-06-15T07:47:17Z,sell,10877487859.0000000000000000,0.0014120000000000
2026-06-15 07:47:39,2026-06-15T07:47:37Z,buy,10869189019.0000000000000000,0.0000400000000000
2026-06-15 07:47:49,2026-06-15T07:47:44Z,sell,10877487854.0000000000000000,0.0012980000000000
2026-06-15 07:47:59,2026-06-15T07:48:00Z,buy,10869189019.0000000000000000,0.0001980000000000
2026-06-15 07:48:29,2026-06-15T07:48:29Z,sell,10869189019.0000000000000000,0.0000010000000000
2026-06-15 07:49:49,2026-06-15T07:49:46Z,sell,10869189019.0000000000000000,0.0001830000000000
2026-06-15 07:49:49,2026-06-15T07:49:43Z,sell,10869189019.0000000000000000,0.0000180000000000
2026-06-15 07:50:29,2026-06-15T07:50:22Z,buy,10869189018.0000000000000000,0.0004600000000000
2026-06-15 07:50:49,2026-06-15T07:50:44Z,buy,10855098442.0000000000000000,0.0000920000000000
2026-06-15 07:50:49,2026-06-15T07:50:44Z,buy,10850000001.0000000000000000,0.0076380000000000
2026-06-15 07:51:09,2026-06-15T07:51:11Z,buy,10850000005.0000000000000000,0.0003030000000000
2026-06-15 07:51:09,2026-06-15T07:51:10Z,buy,10850000006.0000000000000000,0.0003040000000000
2026-06-15 07:51:09,2026-06-15T07:51:07Z,sell,10869189018.0000000000000000,0.0000270000000000
2026-06-15 07:51:09,2026-06-15T07:51:04Z,sell,10869189018.0000000000000000,0.0007690000000000
2026-06-15 07:51:19,2026-06-15T07:51:18Z,sell,10855098442.0000000000000000,0.0000920000000000
2026-06-15 07:53:19,2026-06-15T07:53:14Z,sell,10855098442.0000000000000000,0.0003740000000000
2026-06-15 07:53:19,2026-06-15T07:53:13Z,sell,10855098442.0000000000000000,0.0000060000000000
2026-06-15 07:53:19,2026-06-15T07:53:13Z,sell,10855098442.0000000000000000,0.0000860000000000
2026-06-15 07:54:19,2026-06-15T07:54:15Z,buy,10860098485.0000000000000000,0.0020000000000000
2026-06-15 07:54:19,2026-06-15T07:54:15Z,buy,10860098484.0000000000000000,0.0003660000000000
2026-06-15 07:54:39,2026-06-15T07:54:39Z,sell,10877487842.0000000000000000,0.0000010000000000
2026-06-15 07:55:49,2026-06-15T07:55:50Z,buy,10868487877.0000000000000000,0.0012310000000000
2026-06-15 07:55:49,2026-06-15T07:55:47Z,buy,10870487877.0000000000000000,0.0010630000000000
2026-06-15 07:56:39,2026-06-15T07:56:40Z,buy,10860943070.0000000000000000,0.0009100000000000
2026-06-15 07:56:49,2026-06-15T07:56:46Z,buy,10850000000.0000000000000000,0.0000920000000000
2026-06-15 07:58:49,2026-06-15T07:58:50Z,sell,10849999967.0000000000000000,0.0006240000000000
2026-06-15 07:59:29,2026-06-15T07:59:28Z,buy,10843688682.0000000000000000,0.0000950000000000
2026-06-15 07:59:59,2026-06-15T07:59:59Z,buy,10843688682.0000000000000000,0.0003630000000000
2026-06-15 07:59:59,2026-06-15T07:59:59Z,sell,10849999890.0000000000000000,0.0000270000000000
2026-06-15 08:00:19,2026-06-15T08:00:11Z,buy,10843688682.0000000000000000,0.0002210000000000
2026-06-15 08:00:29,2026-06-15T08:00:29Z,buy,10843688682.0000000000000000,0.0000230000000000
2026-06-15 08:00:59,2026-06-15T08:00:59Z,sell,10849999827.0000000000000000,0.0067270000000000
2026-06-15 08:01:29,2026-06-15T08:01:25Z,buy,10843688682.0000000000000000,0.0002070000000000
2026-06-15 08:01:39,2026-06-15T08:01:32Z,buy,10842688681.0000000000000000,0.0001220000000000
2026-06-15 08:01:49,2026-06-15T08:01:48Z,sell,10843688681.0000000000000000,0.0000380000000000
2026-06-15 08:02:59,2026-06-15T08:02:57Z,buy,10849999924.0000000000000000,0.0002760000000000
2026-06-15 08:04:09,2026-06-15T08:04:07Z,buy,10840000054.0000000000000000,0.0000710000000000
2026-06-15 08:04:49,2026-06-15T08:04:49Z,buy,10820000064.0000000000000000,0.0022210000000000
2026-06-15 08:05:19,2026-06-15T08:05:19Z,buy,10820000054.0000000000000000,0.0000700000000000
2026-06-15 08:06:09,2026-06-15T08:06:03Z,buy,10803804260.0000000000000000,0.0039100000000000
2026-06-15 08:06:19,2026-06-15T08:06:16Z,buy,10800765035.0000000000000000,0.0000050000000000
2026-06-15 08:06:19,2026-06-15T08:06:16Z,buy,10800765035.0000000000000000,0.0009140000000000
2026-06-15 08:06:49,2026-06-15T08:06:43Z,sell,10822888059.0000000000000000,0.0002350000000000
2026-06-15 08:06:59,2026-06-15T08:06:55Z,buy,10800489218.0000000000000000,0.0061420000000000
2026-06-15 08:07:19,2026-06-15T08:07:17Z,buy,10800489208.0000000000000000,0.0000150000000000
2026-06-15 08:07:19,2026-06-15T08:07:17Z,buy,10800000845.0000000000000000,0.0000740000000000
2026-06-15 08:07:19,2026-06-15T08:07:17Z,buy,10800000110.0000000000000000,0.0009250000000000
2026-06-15 08:07:19,2026-06-15T08:07:17Z,buy,10800000012.0000000000000000,0.0003410000000000
2026-06-15 08:07:19,2026-06-15T08:07:17Z,buy,10800000012.0000000000000000,0.0007710000000000
2026-06-15 08:07:29,2026-06-15T08:07:27Z,buy,10800000012.0000000000000000,0.0011110000000000
2026-06-15 08:07:39,2026-06-15T08:07:39Z,buy,10800000012.0000000000000000,0.0258950000000000
2026-06-15 08:07:39,2026-06-15T08:07:39Z,buy,10800000000.0000000000000000,0.0005310000000000
2026-06-15 08:07:39,2026-06-15T08:07:39Z,buy,10800000000.0000000000000000,0.0000150000000000
2026-06-15 08:07:39,2026-06-15T08:07:39Z,buy,10800000000.0000000000000000,0.0004620000000000
2026-06-15 08:08:19,2026-06-15T08:08:17Z,buy,10800000012.0000000000000000,0.0000260000000000
2026-06-15 08:08:29,2026-06-15T08:08:22Z,buy,10790000000.0000000000000000,0.0000920000000000
2026-06-15 08:08:29,2026-06-15T08:08:22Z,buy,10789662666.0000000000000000,0.0009260000000000
2026-06-15 08:10:29,2026-06-15T08:10:30Z,buy,10790000000.0000000000000000,0.0014620000000000
2026-06-15 08:10:29,2026-06-15T08:10:27Z,buy,10790000000.0000000000000000,0.0004870000000000
